CD_IBGE;Cidade;Estado;Subtotal;Parcela Relativa;contagem;ticket medio;frete medio
3506359;BERTIOGA;SP;159.70;0.15;1;159.70;24.51
3506706;BOA ESPERANCA DO SUL;SP;149.90;0.14;1;149.90;26.85
3507605;BRAGANCA PAULISTA;SP;136.80;0.13;1;136.80;19.62
3508306;CABRALIA PAULISTA;SP;112.90;0.11;1;112.90;24.95
3509502;CAMPINAS;SP;1940.75;1.83;15;129.38;16.36
3510500;CARAGUATATUBA;SP;89.90;0.08;1;89.90;15.64
3510609;CARAPICUIBA;SP;125.90;0.12;1;125.90;19.27
3512803;COSMOPOLIS;SP;292.60;0.28;1;292.60;
3513009;COTIA;SP;89.90;0.08;1;89.90;15.03
3515004;EMBU DAS ARTES;SP;37.80;0.04;1;37.80;15.03
3515707;FERRAZ DE VASCONCELOS;SP;294.00;0.28;1;294.00;
3516705;GARCA;SP;88.00;0.08;1;88.00;15.64
3518503;GUAREI;SP;396.95;0.37;1;396.95;
3518800;GUARULHOS;SP;776.50;0.73;7;110.93;15.09
3519055;HOLAMBRA;SP;159.80;0.15;1;159.80;20.10
3522208;ITAPECERICA DA SERRA;SP;89.90;0.08;1;89.90;24.69
3522703;ITAPOLIS;SP;89.90;0.08;1;89.90;15.64
3523404;ITATIBA;SP;89.90;0.08;1;89.90;15.64
3524006;ITUPEVA;SP;114.80;0.11;1;114.80;15.75
3524303;JABOTICABAL;SP;112.90;0.11;1;112.90;15.74
3525904;JUNDIAI;SP;455.40;0.43;4;113.85;16.69
3526803;LENCOIS PAULISTA;SP;93.90;0.09;1;93.90;15.64
3528403;MAIRINQUE;SP;118.80;0.11;1;118.80;15.78
3529005;MARILIA;SP;45.40;0.04;1;45.40;15.64
3529302;MATAO;SP;139.90;0.13;1;139.90;16.92
3529401;MAUA;SP;759.00;0.72;6;126.50;16.49
3530300;MIRASSOL;SP;507.95;0.48;1;507.95;
3531100;MONGAGUA;SP;96.50;0.09;1;96.50;19.35
3534401;OSASCO;SP;793.30;0.75;4;198.32;16.96
3538006;PINDAMONHANGABA;SP;32.00;0.03;1;32.00;15.64
3538709;PIRACICABA;SP;168.80;0.16;2;84.40;16.12
3540606;PORTO FELIZ;SP;89.90;0.08;1;89.90;15.64
3541000;PRAIA GRANDE;SP;89.90;0.08;1;89.90;15.64
3541307;PRESIDENTE EPITACIO;SP;112.90;0.11;1;112.90;22.65
3541406;PRESIDENTE PRUDENTE;SP;191.65;0.18;2;95.82;16.30
3541505;PRESIDENTE VENCESLAU;SP;89.90;0.08;1;89.90;15.64
3543303;RIBEIRAO PIRES;SP;123.70;0.12;1;123.70;15.82
3543402;RIBEIRAO PRETO;SP;455.00;0.43;5;91.00;16.78
3543907;RIO CLARO;SP;112.90;0.11;1;112.90;15.74
3545159;SALTINHO;SP;35.40;0.03;1;35.40;24.07
3545209;SALTO;SP;128.90;0.12;2;64.45;17.32
3545803;SANTA BARBARA D'OESTE;SP;32.00;0.03;1;32.00;15.64
3547304;SANTANA DE PARNAIBA;SP;658.10;0.62;3;219.37;17.28
3547809;SANTO ANDRE;SP;447.40;0.42;4;111.85;17.17
3548500;SANTOS;SP;214.40;0.20;2;107.20;17.72
3548708;SAO BERNARDO DO CAMPO;SP;429.35;0.41;4;107.34;18.27
3548807;SAO CAETANO DO SUL;SP;250.30;0.24;3;83.43;16.32
3549805;SAO JOSE DO RIO PRETO;SP;267.10;0.25;2;133.55;34.28
3549904;SAO JOSE DOS CAMPOS;SP;558.75;0.53;3;186.25;16.18
3550308;SAO PAULO;SP;5354.55;5.06;45;118.99;19.97
3550704;SAO SEBASTIAO;SP;91.80;0.09;1;91.80;15.64
3551900;SEVERINIA;SP;100.05;0.09;1;100.05;24.81
3552205;SOROCABA;SP;637.30;0.60;4;159.32;15.96
3552403;SUMARE;SP;124.80;0.12;2;62.40;15.64
3552502;SUZANO;SP;252.80;0.24;3;84.27;16.99
3552809;TABOAO DA SERRA;SP;85.60;0.08;1;85.60;15.64
3554805;TREMEMBE;SP;131.80;0.12;1;131.80;23.80
3555000;TUPA;SP;282.60;0.27;2;141.30;17.80
4101804;ARAUCARIA;PR;49.90;0.05;1;49.90;16.18
4102109;ASTORGA;PR;302.60;0.29;1;302.60;
4102406;BANDEIRANTES;PR;139.90;0.13;1;139.90;24.12
4102703;BARRA DO JACARE;PR;123.70;0.12;1;123.70;31.69
4103701;CAMBE;PR;89.90;0.08;1;89.90;16.18
4104402;CANDIDO DE ABREU;PR;149.90;0.14;1;149.90;30.38
4105201;CERRO AZUL;PR;113.90;0.11;1;113.90;31.65
4105508;CIANORTE;PR;43.35;0.04;1;43.35;20.53
4106308;CORBELIA;PR;207.60;0.20;2;103.80;26.36
4106902;CURITIBA;PR;1147.80;1.08;8;143.48;16.54
4107504;ENGENHEIRO BELTRAO;PR;443.10;0.42;2;221.55;31.80
4108403;FRANCISCO BELTRAO;PR;89.90;0.08;1;89.90;16.18
4109401;GUARAPUAVA;PR;89.90;0.08;1;89.90;16.18
4109807;IBIPORA;PR;112.90;0.11;1;112.90;9.90
4110078;IMBAU;PR;546.00;0.52;1;546.00;
4112108;JANDAIA DO SUL;PR;112.90;0.11;1;112.90;48.66
4113700;LONDRINA;PR;136.20;0.13;2;68.10;16.18
4115705;MATINHOS;PR;159.90;0.15;1;159.90;30.49
4115804;MEDIANEIRA;PR;112.90;0.11;1;112.90;23.91
4117602;PALMAS;PR;62.90;0.06;1;62.90;29.46
4117909;PALOTINA;PR;89.90;0.08;1;89.90;23.80
4118402;PARANAVAI;PR;228.70;0.22;1;228.70;22.05
4118501;PATO BRANCO;PR;128.90;0.12;1;128.90;16.18
4119509;PIRAQUARA;PR;89.90;0.08;1;89.90;16.18
